월(Monthly)	시도명	시군구	관용1	자가용1	영업용1	계1	관용2	자가용2	영업용2	계2	관용3	자가용3	영업용3	계3	관용4	자가용4	영업용4	계4	관용0	자가용0	영업용0	계0
2024-06	광주	동구	89	42,105	429	42,623	52	955	112	1,119	102	4,105	392	4,599	9	119	73	201	252	47,284	1,006	48,542
2024-06	광주	북구	182	173,116	4,650	177,948	196	3,884	970	5,050	216	22,895	3,424	26,535	19	577	535	1,131	613	200,472	9,579	210,664
2024-06	광주	서구	330	126,769	4,002	131,101	155	3,023	336	3,514	244	15,289	1,653	17,186	22	407	241	670	751	145,488	6,232	152,471
2024-06	광주	계	893	598,600	13,929	613,422	604	13,972	2,291	16,867	840	77,583	14,768	93,191	89	2,040	1,940	4,069	2,426	692,195	32,928	727,549
2024-06	대전	대덕구	82	72,596	1,999	74,677	44	2,079	546	2,669	107	13,746	3,914	17,767	9	348	447	804	242	88,769	6,906	95,917
2024-06	대전	동구	88	76,562	2,805	79,455	55	2,332	489	2,876	96	13,123	1,600	14,819	12	319	219	550	251	92,336	5,113	97,700
2024-06	대전	서구	291	186,495	18,871	205,657	327	4,052	410	4,789	206	18,526	2,379	21,111	30	512	503	1,045	854	209,585	22,163	232,602
2024-06	대전	유성구	121	176,785	2,737	179,643	94	3,143	368	3,605	427	15,433	2,447	18,307	23	612	298	933	665	195,973	5,850	202,488
2024-06	대전	중구	102	82,389	2,459	84,950	47	2,409	453	2,909	74	12,016	2,152	14,242	6	269	264	539	229	97,083	5,328	102,640
2024-06	대전	계	684	594,827	28,871	624,382	567	14,015	2,266	16,848	910	72,844	12,492	86,246	80	2,060	1,731	3,871	2,241	683,746	45,360	731,347
2024-06	울산	남구	302	138,297	2,865	141,464	220	2,653	550	3,423	227	16,128	3,188	19,543	18	361	585	964	767	157,439	7,188	165,394
2024-06	울산	동구	67	58,360	727	59,154	43	1,187	149	1,379	75	4,713	330	5,118	7	150	57	214	192	64,410	1,263	65,865
2024-06	울산	북구	86	109,619	1,519	111,224	40	2,085	278	2,403	92	11,209	1,630	12,931	9	262	327	598	227	123,175	3,754	127,156
2024-06	울산	울주군	167	108,248	1,148	109,563	94	2,528	664	3,286	171	20,702	4,195	25,068	13	412	1,014	1,439	445	131,890	7,021	139,356
2024-06	울산	중구	137	90,940	1,164	92,241	112	1,862	300	2,274	91	10,043	953	11,087	6	216	276	498	346	103,061	2,693	106,100
2024-06	울산	계	759	505,464	7,423	513,646	509	10,315	1,941	12,765	656	62,795	10,296	73,747	53	1,401	2,259	3,713	1,977	579,975	21,919	603,871
2024-06	세종	세종특별자치시	356	176,499	1,205	178,060	252	3,258	574	4,084	268	15,079	1,979	17,326	65	634	173	872	941	195,470	3,931	200,342
2024-06	세종	계	356	176,499	1,205	178,060	252	3,258	574	4,084	268	15,079	1,979	17,326	65	634	173	872	941	195,470	3,931	200,342
2024-06	경기	가평군	150	25,485	238	25,873	86	1,141	136	1,363	165	6,609	200	6,974	22	124	44	190	423	33,359	618	34,400
2024-06	경기	고양시 덕양구	313	173,804	1,843	175,960	158	4,101	387	4,646	196	19,310	2,664	22,170	22	444	290	756	689	197,659	5,184	203,532
2024-06	경기	고양시 일산동구	104	114,833	3,284	118,221	76	2,459	612	3,147	82	13,127	2,170	15,379	10	354	161	525	272	130,773	6,227	137,272
2024-06	경기	고양시 일산서구	71	105,565	2,467	108,103	21	2,107	619	2,747	36	9,363	1,512	10,911	1	222	136	359	129	117,257	4,734	122,120
2024-06	경기	과천시	470	30,391	308	31,169	106	534	37	677	124	1,928	460	2,512	13	82	10	105	713	32,935	815	34,463
2024-06	경기	광명시	128	88,381	1,789	90,298	71	2,300	428	2,799	107	10,233	2,363	12,703	11	211	203	425	317	101,125	4,783	106,225
2024-06	경기	광주시	191	170,817	864	171,872	96	4,775	2,343	7,214	131	30,562	5,459	36,152	16	678	363	1,057	434	206,832	9,029	216,295
2024-06	경기	구리시	91	61,261	1,119	62,471	75	1,530	280	1,885	98	8,388	1,413	9,899	12	188	157	357	276	71,367	2,969	74,612
2024-06	경기	군포시	129	87,939	1,014	89,082	75	2,127	170	2,372	92	9,031	3,906	13,029	10	179	254	443	306	99,276	5,344	104,926
2024-06	경기	김포시	254	201,865	2,555	204,674	114	5,058	1,595	6,767	201	30,933	4,467	35,601	9	687	703	1,399	578	238,543	9,320	248,441
2024-06	경기	남양주시	360	269,286	2,224	271,870	200	7,180	1,012	8,392	220	43,092	6,341	49,653	27	1,076	497	1,600	807	320,634	10,074	331,515
2024-06	경기	동두천시	92	31,873	674	32,639	43	1,203	72	1,318	83	5,305	689	6,077	11	88	50	149	229	38,469	1,485	40,183
2024-06	경기	부천시	6	100	3	109	0	38	10	48	0	129	8	137	0	0	1	1	6	267	22	295
2024-06	경기	부천시 소사구	46	73,182	1,753	74,981	19	2,160	79	2,258	31	8,330	1,234	9,595	1	166	174	341	97	83,838	3,240	87,175
2024-06	경기	부천시 오정구	37	51,827	918	52,782	32	1,927	478	2,437	30	9,891	1,729	11,650	4	173	185	362	103	63,818	3,310	67,231
2024-06	경기	부천시 원미구	188	129,071	2,917	132,176	155	3,520	611	4,286	154	15,861	3,309	19,324	24	327	206	557	521	148,779	7,043	156,343
2024-06	경기	성남시 분당구	200	178,812	4,471	183,483	54	2,404	1,375	3,833	104	7,729	1,921	9,754	10	365	206	581	368	189,310	7,973	197,651
2024-06	경기	성남시 수정구	168	71,933	1,417	73,518	61	2,117	223	2,401	76	7,619	1,583	9,278	3	200	162	365	308	81,869	3,385	85,562
2024-06	경기	성남시 중원구	215	63,463	2,017	65,695	58	2,131	262	2,451	103	8,872	1,596	10,571	17	172	139	328	393	74,638	4,014	79,045
2024-06	경기	수원시 권선구	129	181,227	4,706	186,062	172	4,630	1,501	6,303	159	20,498	3,120	23,777	22	542	559	1,123	482	206,897	9,886	217,265
2024-06	경기	수원시 영통구	277	143,066	1,931	145,274	105	2,120	133	2,358	66	6,730	1,479	8,275	3	266	135	404	451	152,182	3,678	156,311
2024-06	경기	수원시 장안구	230	98,091	978	99,299	149	2,747	513	3,409	103	8,279	2,184	10,566	13	218	121	352	495	109,335	3,796	113,626
2024-06	경기	수원시 팔달구	126	72,954	1,267	74,347	60	2,446	65	2,571	90	6,507	1,940	8,537	20	172	99	291	296	82,079	3,371	85,746
2024-06	경기	시흥시	167	226,030	1,767	227,964	112	6,488	456	7,056	150	37,428	6,416	43,994	23	708	504	1,235	452	270,654	9,143	280,249
2024-06	경기	안산시 단원구	202	136,975	2,553	139,730	153	5,002	1,104	6,259	226	22,957	3,995	27,178	12	389	327	728	593	165,323	7,979	173,895
2024-06	경기	안산시 상록구	85	122,033	2,163	124,281	40	3,947	654	4,641	33	18,331	2,603	20,967	3	418	371	792	161	144,729	5,791	150,681
2024-06	경기	안성시	166	93,151	711	94,028	99	3,075	513	3,687	134	19,249	3,369	22,752	15	990	296	1,301	414	116,465	4,889	121,768
2024-06	경기	안양시 동안구	148	114,201	2,328	116,677	117	2,137	596	2,850	122	9,918	3,812	13,852	11	341	174	526	398	126,597	6,910	133,905
2024-06	경기	안양시 만안구	93	73,866	1,249	75,208	27	2,177	907	3,111	38	9,165	1,590	10,793	0	191	128	319	158	85,399	3,874	89,431
2024-06	경기	양주시	181	113,926	703	114,810	89	3,744	441	4,274	172	19,809	2,951	22,932	13	502	245	760	455	137,981	4,340	142,776
2024-06	경기	양평군	241	53,360	418	54,019	101	1,714	546	2,361	261	12,250	897	13,408	13	286	85	384	616	67,610	1,946	70,172
2024-06	경기	여주시	185	53,177	349	53,711	84	2,005	650	2,739	203	14,270	6,514	20,987	9	310	347	666	481	69,762	7,860	78,103
2024-06	경기	연천군	90	17,508	73	17,671	70	723	231	1,024	159	6,353	4,122	10,634	7	137	495	639	326	24,721	4,921	29,968
2024-06	경기	오산시	92	104,894	1,174	106,160	62	2,775	545	3,382	64	10,538	2,510	13,112	10	313	179	502	228	118,520	4,408	123,156
2024-06	경기	용인시 기흥구	53	184,264	3,171	187,488	39	3,402	700	4,141	49	11,593	3,661	15,303	13	495	204	712	154	199,754	7,736	207,644
2024-06	경기	용인시 수지구	27	144,158	729	144,914	13	1,854	129	1,996	22	4,871	1,412	6,305	0	233	40	273	62	151,116	2,310	153,488
2024-06	경기	용인시 처인구	385	120,292	1,584	122,261	175	3,901	1,407	5,483	237	21,533	4,851	26,621	19	669	443	1,131	816	146,395	8,285	155,496
2024-06	경기	의왕시	114	58,967	397	59,478	94	1,268	176	1,538	88	5,750	2,080	7,918	9	137	324	470	305	66,122	2,977	69,404
2024-06	경기	의정부시	278	151,430	2,040	153,748	268	4,496	450	5,214	197	18,127	2,963	21,287	29	539	270	838	772	174,592	5,723	181,087
2024-06	경기	이천시	207	101,758	1,000	102,965	89	3,376	753	4,218	131	19,011	4,326	23,468	16	460	546	1,022	443	124,605	6,625	131,673
2024-06	경기	파주시	267	211,057	2,557	213,881	99	5,483	2,684	8,266	172	31,010	6,306	37,488	20	667	294	981	558	248,217	11,841	260,616
2024-06	경기	평택시	358	287,169	3,789	291,316	162	7,756	2,234	10,152	255	35,749	7,455	43,459	24	975	1,029	2,028	799	331,649	14,507	346,955
2024-06	경기	포천시	178	66,086	4,578	70,842	75	2,745	780	3,600	154	20,805	2,449	23,408	14	358	382	754	421	89,994	8,189	98,604
2024-06	경기	하남시	204	122,766	887	123,857	90	2,561	348	2,999	150	15,656	2,289	18,095	12	339	152	503	456	141,322	3,676	145,454
2024-06	경기	화성시	396	447,547	3,075	451,018	226	10,234	2,725	13,185	291	63,997	8,127	72,415	75	1,651	674	2,400	988	523,429	14,601	539,018
2024-06	경기	계	8,092	5,429,841	78,052	5,515,985	4,270	141,618	31,970	177,858	5,759	716,696	136,445	858,900	628	18,042	12,364	31,034	18,749	6,306,197	258,831	6,583,777
2024-06	충북	괴산군	76	15,383	127	15,586	57	762	53	872	79	7,949	259	8,287	11	86	29	126	223	24,180	468	24,871
2024-06	충북	단양군	71	11,130	145	11,346	50	456	94	600	114	4,874	385	5,373	4	89	230	323	239	16,549	854	17,642
2024-06	충북	보은군	69	12,083	119	12,271	57	613	89	759	109	6,354	615	7,078	16	74	64	154	251	19,124	887	20,262
2024-06	충북	영동군	86	17,458	117	17,661	58	690	89	837	115	8,226	180	8,521	13	88	41	142	272	26,462	427	27,161
2024-06	충북	옥천군	71	20,084	188	20,343	59	806	83	948	83	8,081	684	8,848	11	173	86	270	224	29,144	1,041	30,409
2024-06	충북	음성군	78	46,804	299	47,181	72	2,080	207	2,359	112	13,753	1,427	15,292	14	224	143	381	276	62,861	2,076	65,213
2024-06	충북	제천시	103	54,574	702	55,379	82	1,697	181	1,960	157	13,703	1,724	15,584	11	346	892	1,249	353	70,320	3,499	74,172
2024-06	충북	증평군	34	17,250	164	17,448	25	536	35	596	31	3,224	583	3,838	7	67	50	124	97	21,077	832	22,006
2024-06	충북	진천군	75	45,112	297	45,484	67	1,494	85	1,646	87	9,294	1,086	10,467	6	215	82	303	235	56,115	1,550	57,900
2024-06	충북	청원군	1	8	0	9	0	3	0	3	0	8	0	8	0	0	0	0	1	19	0	20
2024-06	충북	청주시 상당구	207	87,796	1,061	89,064	115	2,150	368	2,633	176	12,076	1,109	13,361	16	330	265	611	514	102,352	2,803	105,669
2024-06	충북	청주시 서원구	55	84,433	1,724	86,212	125	2,049	842	3,016	65	10,953	1,790	12,808	4	301	211	516	249	97,736	4,567	102,552
2024-06	충북	청주시 청원구	165	91,061	2,376	93,602	122	2,430	547	3,099	128	14,462	2,058	16,648	9	398	190	597	424	108,351	5,171	113,946
2024-06	충북	청주시 흥덕구	133	128,046	4,301	132,480	87	2,975	679	3,741	131	15,801	2,342	18,274	13	547	334	894	364	147,369	7,656	155,389
2024-06	충북	충주시	193	94,244	5,606	100,043	154	2,844	417	3,415	259	20,036	1,790	22,085	29	426	279	734	635	117,550	8,092	126,277
2024-06	충북	계	1,417	725,466	17,226	744,109	1,130	21,585	3,769	26,484	1,646	148,794	16,032	166,472	164	3,364	2,896	6,424	4,357	899,209	39,923	943,489
2024-06	충남	계룡시	77	23,374	62	23,513	38	579	98	715	55	2,268	416	2,739	9	90	33	132	179	26,311	609	27,099
2024-06	충남	공주시	229	42,199	1,344	43,772	120	1,557	372	2,049	224	12,853	671	13,748	24	200	129	353	597	56,809	2,516	59,922
2024-06	충남	금산군	70	20,581	1,573	22,224	45	1,011	233	1,289	94	8,622	600	9,316	7	111	74	192	216	30,325	2,480	33,021
2024-06	충남	논산시	151	45,585	831	46,567	91	2,039	377	2,507	145	15,249	1,079	16,473	29	200	86	315	416	63,073	2,373	65,862
2024-06	충남	당진시	156	84,797	791	85,744	78	2,439	358	2,875	188	19,095	2,328	21,611	17	473	798	1,288	439	106,804	4,275	111,518
2024-06	충남	보령시	132	40,295	528	40,955	73	1,401	180	1,654	183	12,841	545	13,569	32	195	155	382	420	54,732	1,408	56,560
2024-06	충남	부여군	95	23,013	194	23,302	69	1,089	336	1,494	149	11,231	395	11,775	13	85	53	151	326	35,418	978	36,722
2024-06	충남	서산시	172	81,761	1,011	82,944	88	2,457	489	3,034	162	19,043	1,861	21,066	25	396	432	853	447	103,657	3,793	107,897
2024-06	충남	서천군	78	19,621	148	19,847	40	726	115	881	109	7,706	436	8,251	15	87	81	183	242	28,140	780	29,162
2024-06	충남	아산시	189	171,220	2,383	173,792	144	4,750	484	5,378	189	24,300	3,760	28,249	46	686	379	1,111	568	200,956	7,006	208,530
2024-06	충남	예산군	140	34,412	281	34,833	124	1,400	315	1,839	188	11,511	722	12,421	16	195	116	327	468	47,518	1,434	49,420
2024-06	충남	천안시 동남구	110	118,908	1,792	120,810	67	3,805	657	4,529	126	19,752	2,808	22,686	10	519	405	934	313	142,984	5,662	148,959
2024-06	충남	천안시 서북구	167	181,048	1,748	182,963	146	4,431	867	5,444	214	20,937	2,474	23,625	23	577	282	882	550	206,993	5,371	212,914
2024-06	충남	청양군	77	11,440	66	11,583	55	478	61	594	120	6,019	491	6,630	17	65	72	154	269	18,002	690	18,961
2024-06	충남	태안군	83	24,621	194	24,898	45	989	114	1,148	196	10,795	259	11,250	19	137	53	209	343	36,542	620	37,505
2024-06	충남	홍성군	175	42,678	319	43,172	91	1,379	196	1,666	142	12,247	759	13,148	20	226	129	375	428	56,530	1,403	58,361
2024-06	충남	계	2,101	965,553	13,265	980,919	1,314	30,530	5,252	37,096	2,484	214,469	19,604	236,557	322	4,242	3,277	7,841	6,221	1,214,794	41,398	1,262,413
2024-06	전남	강진군	83	12,298	166	12,547	64	503	76	643	100	6,611	735	7,446	10	83	40	133	257	19,495	1,017	20,769
2024-06	전남	고흥군	101	20,762	160	21,023	74	1,024	93	1,191	139	12,652	261	13,052	10	117	42	169	324	34,555	556	35,435
2024-06	전남	곡성군	68	10,548	102	10,718	42	424	61	527	73	5,025	392	5,490	6	52	65	123	189	16,049	620	16,858
2024-06	전남	광양시	92	76,615	837	77,544	69	2,148	277	2,494	88	14,521	3,456	18,065	14	527	1,662	2,203	263	93,811	6,232	100,306
2024-06	전남	구례군	59	9,220	402	9,681	40	396	52	488	77	3,949	205	4,231	4	66	23	93	180	13,631	682	14,493
2024-06	전남	나주시	142	52,409	784	53,335	122	1,887	375	2,384	212	15,544	1,709	17,465	19	350	267	636	495	70,190	3,135	73,820
2024-06	전남	담양군	80	20,201	400	20,681	49	772	264	1,085	78	7,913	1,048	9,039	11	119	147	277	218	29,005	1,859	31,082
2024-06	전남	목포시	117	83,194	2,271	85,582	117	2,659	409	3,185	154	13,051	2,347	15,552	10	325	339	674	398	99,229	5,366	104,993
2024-06	전남	무안군	245	39,371	151	39,767	211	1,480	69	1,760	157	11,812	848	12,817	14	188	120	322	627	52,851	1,188	54,666
2024-06	전남	보성군	76	13,961	153	14,190	52	717	69	838	106	7,931	364	8,401	14	85	50	149	248	22,694	636	23,578
2024-06	전남	순천시	168	123,335	1,848	125,351	133	2,947	600	3,680	194	22,762	2,122	25,078	19	453	932	1,404	514	149,497	5,502	155,513
2024-06	전남	신안군	113	13,949	100,572	114,634	69	652	2,479	3,200	204	9,418	388	10,010	5	147	36	188	391	24,166	103,475	128,032
2024-06	전남	여수시	198	113,467	2,440	116,105	146	3,195	722	4,063	202	21,771	3,523	25,496	16	412	850	1,278	562	138,845	7,535	146,942
2024-06	전남	영광군	79	20,894	142	21,115	47	791	94	932	115	8,145	509	8,769	7	112	50	169	248	29,942	795	30,985
2024-06	전남	영암군	87	24,357	124	24,568	64	1,201	79	1,344	120	11,284	779	12,183	8	209	134	351	279	37,051	1,116	38,446
2024-06	전남	완도군	124	16,111	165	16,400	57	704	105	866	106	9,693	207	10,006	11	95	31	137	298	26,603	508	27,409
2024-06	전남	장성군	82	19,088	229	19,399	45	726	83	854	94	8,201	908	9,203	3	117	91	211	224	28,132	1,311	29,667
2024-06	전남	장흥군	90	13,251	93	13,434	74	545	48	667	106	7,099	282	7,487	7	60	34	101	277	20,955	457	21,689
2024-06	전남	진도군	77	11,094	90	11,261	50	521	60	631	93	6,309	143	6,545	8	60	22	90	228	17,984	315	18,527
2024-06	전남	함평군	69	12,307	6,186	18,562	53	517	126	696	91	6,565	199	6,855	11	88	25	124	224	19,477	6,536	26,237
2024-06	전남	해남군	112	24,349	82,562	107,023	81	1,614	1,070	2,765	139	15,542	233	15,914	10	120	44	174	342	41,625	83,909	125,876
2024-06	전남	화순군	97	25,561	451	26,109	52	923	925	1,900	101	8,054	506	8,661	9	155	151	315	259	34,693	2,033	36,985
2024-06	전남	계	2,359	756,342	200,328	959,029	1,711	26,346	8,136	36,193	2,749	233,852	21,164	257,765	226	3,940	5,155	9,321	7,045	1,020,480	234,783	1,262,308
