월(Monthly)	시도명	시군구	관용1	자가용1	영업용1	계1	관용2	자가용2	영업용2	계2	관용3	자가용3	영업용3	계3	관용4	자가용4	영업용4	계4	관용0	자가용0	영업용0	계0
2024-06	서울	강남구	152	218,463	17,319	235,934	58	3,934	562	4,554	180	13,708	2,423	16,311	19	369	159	547	409	236,474	20,463	257,346
2024-06	서울	강동구	108	131,107	4,945	136,160	41	3,260	705	4,006	146	11,945	2,536	14,627	7	223	214	444	302	146,535	8,400	155,237
2024-06	서울	강북구	106	60,200	2,063	62,369	69	2,136	713	2,918	132	6,932	1,291	8,355	15	154	109	278	322	69,422	4,176	73,920
2024-06	서울	강서구	136	167,917	9,288	177,341	43	4,261	1,311	5,615	167	16,383	4,275	20,825	16	421	257	694	362	188,982	15,131	204,475
2024-06	서울	관악구	90	99,428	3,022	102,540	45	3,021	346	3,412	143	9,075	2,239	11,457	12	181	176	369	290	111,705	5,783	117,778
2024-06	서울	광진구	92	80,620	3,084	83,796	44	2,139	341	2,524	172	8,700	1,646	10,518	10	123	110	243	318	91,582	5,181	97,081
2024-06	서울	구로구	107	115,548	9,701	125,356	62	4,043	585	4,690	127	13,862	2,649	16,638	7	331	167	505	303	133,784	13,102	147,189
2024-06	서울	금천구	57	71,715	3,380	75,152	32	2,671	452	3,155	72	10,764	2,330	13,166	12	189	98	299	173	85,339	6,260	91,772
2024-06	서울	노원구	84	129,587	5,507	135,178	54	3,348	766	4,168	176	9,844	2,164	12,184	12	268	260	540	326	143,047	8,697	152,070
2024-06	서울	도봉구	92	76,579	4,600	81,271	48	2,308	599	2,955	125	7,971	2,053	10,149	12	182	164	358	277	87,040	7,416	94,733
2024-06	서울	동대문구	101	84,549	2,938	87,588	54	2,573	146	2,773	131	9,769	2,204	12,104	10	202	98	310	296	97,093	5,386	102,775
2024-06	서울	동작구	112	94,797	1,096	96,005	46	2,236	132	2,414	125	6,516	1,184	7,825	17	137	178	332	300	103,686	2,590	106,576
2024-06	서울	마포구	94	101,896	4,240	106,230	55	2,535	633	3,223	180	9,278	2,220	11,678	21	241	540	802	350	113,950	7,633	121,933
2024-06	서울	서대문구	207	77,745	3,377	81,329	105	2,039	400	2,544	140	5,858	1,806	7,804	7	148	109	264	459	85,790	5,692	91,941
2024-06	서울	서초구	178	152,864	3,909	156,951	130	2,947	650	3,727	182	10,675	4,763	15,620	16	278	196	490	506	166,764	9,518	176,788
2024-06	서울	성동구	131	82,495	8,974	91,600	46	1,818	992	2,856	177	8,247	1,876	10,300	19	193	101	313	373	92,753	11,943	105,069
2024-06	서울	성북구	94	105,340	2,011	107,445	49	2,835	1,100	3,984	138	8,521	1,714	10,373	8	189	102	299	289	116,885	4,927	122,101
2024-06	서울	송파구	124	207,228	7,458	214,810	99	4,047	1,634	5,780	161	17,618	4,808	22,587	16	390	384	790	400	229,283	14,284	243,967
2024-06	서울	양천구	130	127,359	4,307	131,796	60	3,080	760	3,900	144	11,044	2,940	14,128	7	270	431	708	341	141,753	8,438	150,532
2024-06	서울	영등포구	128	118,767	2,930	121,825	59	3,696	179	3,934	168	13,319	4,434	17,921	15	475	644	1,134	370	136,257	8,187	144,814
2024-06	서울	용산구	258	63,834	1,276	65,368	118	1,783	73	1,974	154	5,010	904	6,068	12	140	28	180	542	70,767	2,281	73,590
2024-06	서울	은평구	100	114,409	4,051	118,560	46	2,977	740	3,763	139	9,876	2,066	12,081	16	183	191	390	301	127,445	7,048	134,794
2024-06	서울	종로구	1,626	39,323	242	41,191	1,535	1,463	247	3,245	344	3,627	1,553	5,524	106	85	96	287	3,611	44,498	2,138	50,247
2024-06	서울	중구	299	41,700	1,692	43,691	859	1,778	233	2,870	176	5,283	1,186	6,645	18	273	100	391	1,352	49,034	3,211	53,597
2024-06	서울	중랑구	78	91,898	5,959	97,935	33	3,032	571	3,636	121	11,665	2,812	14,598	14	219	328	561	246	106,814	9,670	116,730
2024-06	서울	계	4,684	2,655,368	117,369	2,777,421	3,790	69,960	14,870	88,620	3,920	245,490	60,076	309,486	424	5,864	5,240	11,528	12,818	2,976,682	197,555	3,187,055
2024-06	부산	강서구	122	67,645	2,075	69,842	85	1,651	312	2,048	129	16,199	2,729	19,057	10	409	643	1,062	346	85,904	5,759	92,009
2024-06	부산	금정구	104	65,165	2,450	67,719	62	2,029	858	2,949	105	9,489	3,116	12,710	14	180	657	851	285	76,863	7,081	84,229
2024-06	부산	기장군	82	74,198	834	75,114	49	2,034	539	2,622	120	10,816	1,302	12,238	12	243	217	472	263	87,291	2,892	90,446
2024-06	부산	남구	112	81,365	3,147	84,624	57	2,061	498	2,616	58	8,862	4,378	13,298	3	305	1,447	1,755	230	92,593	9,470	102,293
2024-06	부산	동구	82	44,118	1,673	45,873	47	849	169	1,065	60	3,610	2,373	6,043	4	106	1,061	1,171	193	48,683	5,276	54,152
2024-06	부산	동래구	73	85,236	1,656	86,965	27	1,878	361	2,266	64	9,904	1,497	11,465	1	202	266	469	165	97,220	3,780	101,165
2024-06	부산	부산진구	128	117,138	21,843	139,109	60	2,723	517	3,300	170	13,022	2,339	15,531	11	205	535	751	369	133,088	25,234	158,691
2024-06	부산	북구	124	87,667	1,554	89,345	52	2,132	308	2,492	107	11,922	1,610	13,639	9	199	228	436	292	101,920	3,700	105,912
2024-06	부산	사상구	97	67,157	2,427	69,681	56	2,071	242	2,369	103	14,213	2,311	16,627	9	223	322	554	265	83,664	5,302	89,231
2024-06	부산	사하구	108	92,304	3,364	95,776	49	2,653	338	3,040	105	12,841	1,991	14,937	9	211	280	500	271	108,009	5,973	114,253
2024-06	부산	서구	61	25,861	398	26,320	34	877	21	932	41	3,632	889	4,562	1	57	87	145	137	30,427	1,395	31,959
2024-06	부산	수영구	51	56,897	61,313	118,261	24	1,412	847	2,283	80	5,520	1,368	6,968	11	152	367	530	166	63,981	63,895	128,042
2024-06	부산	연제구	330	104,670	14,792	119,792	506	1,624	649	2,779	187	8,380	2,302	10,869	28	183	709	920	1,051	114,857	18,452	134,360
2024-06	부산	영도구	82	26,714	1,301	28,097	48	974	293	1,315	83	4,093	367	4,543	9	49	52	110	222	31,830	2,013	34,065
2024-06	부산	중구	150	32,245	114	32,509	62	497	15	574	85	1,843	5,306	7,234	15	116	1,696	1,827	312	34,701	7,131	42,144
2024-06	부산	해운대구	141	149,513	10,141	159,795	57	2,980	250	3,287	130	13,062	2,180	15,372	9	308	476	793	337	165,863	13,047	179,247
2024-06	부산	계	1,847	1,177,893	129,082	1,308,822	1,275	28,445	6,217	35,937	1,627	147,408	36,058	185,093	155	3,148	9,043	12,346	4,904	1,356,894	180,400	1,542,198
2024-06	대구	군위군	48	9,939	68	10,055	36	376	20	432	46	5,282	136	5,464	2	63	21	86	132	15,660	245	16,037
2024-06	대구	남구	74	47,113	897	48,084	228	1,243	93	1,564	80	6,268	499	6,847	3	116	61	180	385	54,740	1,550	56,675
2024-06	대구	달서구	190	239,692	12,120	252,002	112	4,712	731	5,555	175	29,184	5,576	34,935	14	580	578	1,172	491	274,168	19,005	293,664
2024-06	대구	달성군	118	117,758	1,484	119,360	121	2,878	515	3,514	297	19,637	2,872	22,806	62	398	293	753	598	140,671	5,164	146,433
2024-06	대구	동구	115	141,884	5,079	147,078	88	3,255	726	4,069	152	19,328	3,896	23,376	10	442	519	971	365	164,909	10,220	175,494
2024-06	대구	북구	177	170,252	2,569	172,998	126	3,694	635	4,455	231	28,230	4,438	32,899	28	545	441	1,014	562	202,721	8,083	211,366
2024-06	대구	서구	92	58,904	2,938	61,934	40	1,672	232	1,944	123	10,888	1,561	12,572	9	160	117	286	264	71,624	4,848	76,736
2024-06	대구	수성구	188	196,225	3,168	199,581	192	2,941	610	3,743	212	15,968	1,331	17,511	12	463	163	638	604	215,597	5,272	221,473
2024-06	대구	중구	92	53,566	1,385	55,043	82	1,000	345	1,427	147	4,622	475	5,244	15	94	24	133	336	59,282	2,229	61,847
2024-06	대구	계	1,094	1,035,333	29,708	1,066,135	1,025	21,771	3,907	26,703	1,463	139,407	20,784	161,654	155	2,861	2,217	5,233	3,737	1,199,372	56,616	1,259,725
2024-06	인천	강화군	129	27,143	9,101	36,373	51	1,117	317	1,485	157	10,395	760	11,312	8	159	88	255	345	38,814	10,266	49,425
2024-06	인천	계양구	111	95,140	142,839	238,090	61	3,114	2,028	5,203	112	26,122	2,783	29,017	16	575	325	916	300	124,951	147,975	273,226
2024-06	인천	남동구	345	223,559	22,119	246,023	414	5,057	875	6,346	176	29,385	3,602	33,163	23	566	491	1,080	958	258,567	27,087	286,612
2024-06	인천	동구	38	19,972	1,064	21,074	35	853	70	958	34	3,559	1,389	4,982	2	98	317	417	109	24,482	2,840	27,431
2024-06	인천	미추홀구	185	143,738	6,058	149,981	98	4,045	77	4,220	140	16,956	4,871	21,967	20	425	860	1,305	443	165,164	11,866	177,473
2024-06	인천	부평구	150	204,134	34,720	239,004	81	4,550	1,030	5,661	103	21,047	3,211	24,361	11	477	315	803	345	230,208	39,276	269,829
2024-06	인천	서구	221	266,014	4,920	271,155	105	6,349	1,346	7,800	190	33,967	6,349	40,506	23	745	717	1,485	539	307,075	13,332	320,946
2024-06	인천	연수구	166	206,136	5,363	211,665	90	3,127	714	3,931	140	12,151	3,437	15,728	13	390	505	908	409	221,804	10,019	232,232
2024-06	인천	옹진군	66	8,740	149	8,955	53	505	67	625	125	3,947	64	4,136	3	47	13	63	247	13,239	293	13,779
2024-06	인천	중구	310	69,520	790	70,620	162	1,841	681	2,684	194	8,302	8,882	17,378	23	389	1,774	2,186	689	80,052	12,127	92,868
2024-06	인천	계	1,721	1,264,096	227,123	1,492,940	1,150	30,558	7,205	38,913	1,371	165,831	35,348	202,550	142	3,871	5,405	9,418	4,384	1,464,356	275,081	1,743,821
2024-06	광주	광산구	209	173,920	3,764	177,893	153	4,235	403	4,791	185	26,665	8,265	35,115	28	710	912	1,650	575	205,530	13,344	219,449
2024-06	광주	남구	83	82,690	1,084	83,857	48	1,875	470	2,393	93	8,629	1,034	9,756	11	227	179	417	235	93,421	2,767	96,423
